| Track ID | Collection Name | Track Name | Filename | Filepath | Performers | Year | Region |
| col_2_track_23 | Gigo's Gundi | Shoba Sheni Ukhrtsnel Ars | Erkomaishvilebi_-_Shoba_Sheni.mp3 | Gigo's Gundi/Erkomaishvilebi_-_Shoba_Sheni.mp3 | Gigo Erkomaishvili's Choir | 1907 | Guria |
| Track ID | Collection Name | Track Name | Filename | Filepath | Performers | Year | Region |
|----------|---------------|------------|----------|----------|------------|------|--------|
| col_4_track_17 | Apshilavebi | Agdgomasa Shensa | Apshilavebi_-_Agdgomasa_Shensa.mp3 | Apshilavebi/Apshilavebi_-_Agdgomasa_Shensa.mp3 | Ilia Apshilava (first voice), Leo Apshilava (second voice), Amiran Apshilava (bass) | unknown | Guria |
| col_4_track_2 | Apshilavebi | Ai Da Odelia | Apshilavebi_-_Ai_Da_Odelia.mp3 | Apshilavebi/Apshilavebi_-_Ai_Da_Odelia.mp3 | Ilia Apshilava (first voice), Leo Apshilava (second voice), Amiran Apshilava (bass) | unknown | Guria |
| col_4_track_14 | Apshilavebi | Alilo | Apshilavebi_-_Alilo.mp3 | Apshilavebi/Apshilavebi_-_Alilo.mp3 | Ilia Apshilava (first voice), Leo Apshilava (second voice), Amiran Apshilava (bass) | unknown | Guria |
| col_4_track_9 | Apshilavebi | Chemi Guli Shen Mogelis | Apshilavebi_-_Chemi_Guli_Shen_Mogelis.mp3 | Apshilavebi/Apshilavebi_-_Chemi_Guli_Shen_Mogelis.mp3 | Ilia Apshilava (first voice), Leo Apshilava (second voice), Amiran Apshilava (bass) | unknown | Guria |
| col_4_track_20 | Apshilavebi | Chven Mshvidoba | Apshilavebi_-_Chven_Mshvidoba.mp3 | Apshilavebi/Apshilavebi_-_Chven_Mshvidoba.mp3 | Ilia Apshilava (first voice), Leo Apshilava (second voice), Amiran Apshilava (bass) | unknown | Guria |
| col_4_track_10 | Apshilavebi | Dadianuri Modzakhli | Apshilavebi_-_Dadianuri_Modzakhili.mp3 | Apshilavebi/Apshilavebi_-_Dadianuri_Modzakhili.mp3 | Ilia Apshilava (first voice), Leo Apshilava (second voice), Amiran Apshilava (bass) | unknown | Samegrelo |
| col_4_track_11 | Apshilavebi | Dges Sagmrtoman Madlman | Apshilavebi_-_Dges_Sagmrtoman_Madlman.mp3 | Apshilavebi/Apshilavebi_-_Dges_Sagmrtoman_Madlman.mp3 | Ilia Apshilava (first voice), Leo Apshilava (second voice), Amiran Apshilava (bass) | unknown | Guria |
| col_4_track_7 | Apshilavebi | Gulo Shavgulo | Apshilavebi_-_Gulo_Shavgulo.mp3 | Apshilavebi/Apshilavebi_-_Gulo_Shavgulo.mp3 | Ilia Apshilava (first voice), Leo Apshilava (second voice), Amiran Apshilava (bass) | unknown | Guria |
| col_4_track_19 | Apshilavebi | Lamazo Da Mimzidvelo | Apshilavebi_-_Lamazo_Da_Mimzidvelo.mp3 | Apshilavebi/Apshilavebi_-_Lamazo_Da_Mimzidvelo.mp3 | Ilia Apshilava (first voice), Leo Apshilava (second voice), Amiran Apshilava (bass) | unknown | Guria |
| col_4_track_1 | Apshilavebi | Lamazo Da Mimzidvelo2 | Apshilavebi_-_Lamazo_Da_Mimzidvelo2.mp3 | Apshilavebi/Apshilavebi_-_Lamazo_Da_Mimzidvelo2.mp3 | Ilia Apshilava (first voice), Leo Apshilava (second voice), Amiran Apshilava (bass) | unknown | Guria |
| col_4_track_5 | Apshilavebi | Maspindzelsa Mkhiarulsa | Apshilavebi_-_MAspindzelsa_Mkhiarulsa.mp3 | Apshilavebi/Apshilavebi_-_MAspindzelsa_Mkhiarulsa.mp3 | Ilia Apshilava (first voice), Leo Apshilava (second voice), Amiran Apshilava (bass) | unknown | Guria |
| col_4_track_21 | Apshilavebi | Me Rustveli | Apshilavebi_-_Me_Rustveli.mp3 | Apshilavebi/Apshilavebi_-_Me_Rustveli.mp3 | Ilia Apshilava (first voice), Leo Apshilava (second voice), Amiran Apshilava (bass) | unknown | Guria |
| col_4_track_18 | Apshilavebi | Mgzavruli | Apshilavebi_-_Mgzavruli.mp3 | Apshilavebi/Apshilavebi_-_Mgzavruli.mp3 | Ilia Apshilava (first voice), Leo Apshilava (second voice), Amiran Apshilava (bass) | unknown | Samegrelo |
| col_4_track_4 | Apshilavebi | Mival Guriashi | Apshilavebi_-_Mival_Guriashi.mp3 | Apshilavebi/Apshilavebi_-_Mival_Guriashi.mp3 | Ilia Apshilava (first voice), Leo Apshilava (second voice), Amiran Apshilava (bass) | unknown | Guria |
| col_4_track_8 | Apshilavebi | Mival Guriashi Latariuli | Apshilavebi_-_Mival_Guriashi_Lataria.mp3 | Apshilavebi/Apshilavebi_-_Mival_Guriashi_Lataria.mp3 | Ilia Apshilava (first voice), Leo Apshilava (second voice), Amiran Apshilava (bass) | unknown | Guria |
| col_4_track_13 | Apshilavebi | Mokle Kalos Khelkhvavi | Apshilavebi_-_Mokle_Kalos_Khelkhvavi.mp3 | Apshilavebi/Apshilavebi_-_Mokle_Kalos_Khelkhvavi.mp3 | Ilia Apshilava (first voice), Leo Apshilava (second voice), Amiran Apshilava (bass) | unknown | Guria |
| col_4_track_12 | Apshilavebi | Mshromel Katsis Gamrje Khelit | Apshilavebi_-_Mshromeli_Katsis_Gamrje_Khelit.mp3 | Apshilavebi/Apshilavebi_-_Mshromeli_Katsis_Gamrje_Khelit.mp3 | Ilia Apshilava (first voice), Leo Apshilava (second voice), Amiran Apshilava (bass) | unknown | Guria |
| col_4_track_16 | Apshilavebi | Sasatsilo Ambavi | Apshilavebi_-_Sasatsilo_Ambavi.mp3 | Apshilavebi/Apshilavebi_-_Sasatsilo_Ambavi.mp3 | Ilia Apshilava (first voice), Leo Apshilava (second voice), Amiran Apshilava (bass) | unknown | Guria |
| col_4_track_3 | Apshilavebi | Sisa Tura | Apshilavebi_-_Sisa_Tura.mp3 | Apshilavebi/Apshilavebi_-_Sisa_Tura.mp3 | Ilia Apshilava (first voice), Leo Apshilava (second voice), Amiran Apshilava (bass) | unknown | Samegrelo |
| col_4_track_6 | Apshilavebi | Vito Jiri | Apshilavebi_-_Vito_Jiri.mp3 | Apshilavebi/Apshilavebi_-_Vito_Jiri.mp3 | Ilia Apshilava (first voice), Leo Apshilava (second voice), Amiran Apshilava (bass) | unknown | Samegrelo |
| Track ID | Collection Name | Track Name | Filename | Filepath | Performers | Year | Region |
|----------|---------------|------------|----------|----------|------------|------|--------|
